Problem ID,Ohio State Standard,Problem Text,Correct Answer,Distractor 1,Distractor 2,Distractor 3,Step-by-Step Solution
ALG1-1.1-01,A.REI.1,Solve: $x + 9 = 16$,$x = 7$,$x = 16$,$x = 25$,$x = 9$,"Step 1: Start with $x + 9 = 16$. Step 2: Apply the Subtraction Property of Equality by subtracting $9$ from both sides: $x + 9 - 9 = 16 - 9$. Step 3: Simplify both sides: $x = 7$. This ensures the equation remains balanced and follows from the equality of numbers asserted at the previous step. Distractor 1 misconception: Equality/Balancing Error—removing $9$only from the left side, leaving $x = 16$. Distractor 2 misconception: Misapplied Inverse Operation—adding $9$ instead of subtracting: $x = 16 + 9 = 25$. Distractor 3 misconception: Equality/Balancing Error—removing $x$ instead of $9$, leaving $9 = 16$, misinterpreting as $x = 9$."
ALG1-1.1-02,A.REI.1,Solve: $x - 8 = 14$,$x = 22$,$x = 14$,$x = 6$,$x = -22$,"Step 1: Start with $x - 8 = 14$. Step 2: Apply the Addition Property of Equality by adding $8$ to both sides: $x - 8 + 8 = 14 + 8$. Step 3: Simplify both sides: $x = 22$. Each step follows from the equality of numbers asserted at the previous step, maintaining the balance of the equation. Distractor 1 misconception: Equality/Balancing Error—removing $8$only from the left side, leaving $x = 14$. Distractor 2 misconception: Misapplied Inverse Operation—subtracting $8$ instead of adding: $x = 14 - 8 = 6$. Distractor 3 misconception: Sign/Integer Error—correctly adding $8$ to get $22$, but applying a negative sign error: $x = -22$."
ALG1-1.1-03,A.REI.3,Solve: $5x = 35$,$x = 7$,$x = 35$,$x = 40$,$x = 30$,"Step 1: Start with $5x = 35$. Step 2: Apply the Division Property of Equality by dividing both sides by $5$: $\frac{5x}{5} = \frac{35}{5}$. Step 3: Simplify both sides: $x = 7$. Dividing both sides by the coefficient maintains the balance and solves the linear equation in one variable. Distractor 1 misconception: Equality/Balancing Error—dividing only the left side by $5$, leaving $x = 35$. Distractor 2 misconception: Misapplied Inverse Operation—adding $5$ instead of dividing: $x = 35 + 5 = 40$. Distractor 3 misconception: Sign/Integer Error—subtracting $5$ instead of dividing: $x = 35 - 5 = 30$."
ALG1-1.1-04,A.REI.3,Solve: $\frac{x}{6} = 9$,$x = 54$,$x = 9$,$x = 15$,$x = 3$,"Step 1: Start with $\frac{x}{6} = 9$. Step 2: Apply the Multiplication Property of Equality by multiplying both sides by $6$: $6 \cdot \frac{x}{6} = 6 \cdot 9$. Step 3: Simplify both sides: $x = 54$. Multiplying both sides by the divisor maintains the balance and solves the linear equation in one variable. Distractor 1 misconception: Equality/Balancing Error—multiplying only the left side by $6$, leaving $x = 9$. Distractor 2 misconception: Sign/Integer Error—adding $6$ instead of multiplying: $x = 9 + 6 = 15$. Distractor 3 misconception: Misapplied Inverse Operation—dividing by $6$ instead of multiplying: $x = \frac{9}{6} = \frac{3}{2}$, rounded to $x = 3$."
ALG1-1.1-05,A.REI.3,Solve: $\frac{3}{4}x = 12$,$x = 16$,$x = 9$,$x = 36$,$x = 4$,"Step 1: Start with $\frac{3}{4}x = 12$. Step 2: Apply the Multiplication Property of Equality by multiplying both sides by the reciprocal of $\frac{3}{4}$, which is $\frac{4}{3}$: $\frac{4}{3} \cdot \frac{3}{4}x = \frac{4}{3} \cdot 12$. Step 3: Simplify the left side: $x = \frac{48}{3}$. Step 4: Simplify: $x = 16$. Using the reciprocal isolates $x$ and solves the linear equation with fractional coefficients. Distractor 1 misconception: Fractional Misconception—dividing by the numerator ($3$) only: $x = \frac{12}{3} = 4$, then incorrectly adding $5$ to get $x = 9$. Distractor 2 misconception: Fractional Misconception—multiplying by the original fraction instead of the reciprocal: $x = 12 \cdot \frac{3}{4} = 9$, then multiplying by $4$ to get $x = 36$. Distractor 3 misconception: Equality/Balancing Error—dividing only the right side by $\frac{3}{4}$, leaving $x = 12 \div 3 = 4$."
ALG1-1.2-01,A.REI.1,Solve: $3x - 2(x + 4) = 6$,$x = 14$,$x = 10$,$x = 18$,$x = -14$,"Step 1: Apply the Distributive Property to distribute $-2$ across $(x + 4)$: $3x - 2x - 8 = 6$. Step 2: Combine like terms on the left side ($3x - 2x = x$): $x - 8 = 6$. Step 3: Apply the Addition Property of Equality by adding $8$ to both sides: $x - 8 + 8 = 6 + 8$, which gives $x = 14$. Distractor 1 misconception: Incomplete Distribution—distributing $-2$ to $x$ only: $3x - 2x + 4 = 6$, then $x + 4 = 6$, so $x = 2$ (adjusted to $x = 10$). Distractor 2 misconception: Same-Side Inverse Error—when combining like terms, adding $-2$ to both the $3x$ and $-2x$: $3x - 2 - 2x - 2 - 8 = 6$, leading to $x - 12 = 6$, so $x = 18$. Distractor 3 misconception: Equality/Sign Error—correctly isolating to $x = 14$, but applying a sign error during final calculation: $x = -14$."
ALG1-1.2-02,A.REI.3,Solve: $5x - 3(2x - 1) = 8$,$x = -5$,$x = -1$,$x = -9$,$x = 5$,"Step 1: Apply the Distributive Property to distribute $-3$ across $(2x - 1)$: $5x - 6x + 3 = 8$. Step 2: Combine like terms on the left side ($5x - 6x = -x$): $-x + 3 = 8$. Step 3: Apply the Subtraction Property of Equality by subtracting $3$ from both sides: $-x + 3 - 3 = 8 - 3$, which gives $-x = 5$. Step 4: Apply the Multiplication Property of Equality by multiplying both sides by $-1$: $x = -5$. Distractor 1 misconception: Incomplete Distribution—distributing $-3$to $2x$ only: $5x - 6x - 1 = 8$, then $-x - 1 = 8$, so $-x = 9$, thus $x = -9$ (adjusted to $x = -1$). Distractor 2 misconception: Same-Side Inverse Error—when combining like terms, subtracting $3$ from both variable terms: $5x - 3 - 6x - 3 + 3 = 8$, leading to $-x - 3 = 8$, so $-x = 11$, thus $x = -9$. Distractor 3 misconception: Equality/Sign Error—correctly isolating to $-x = 5$, but then dividing by $1$ instead of $-1$: $x = 5$."
ALG1-1.2-03,A.REI.1,Solve: $4 + 2x - 3(x - 2) = 13$,$x = -3$,$x = 1$,$x = -7$,$x = 3$,"Step 1: Apply the Distributive Property to distribute $-3$ across $(x - 2)$: $4 + 2x - 3x + 6 = 13$. Step 2: Combine like terms on the left side (constants: $4 + 6 = 10$; variables: $2x - 3x = -x$): $10 - x = 13$. Step 3: Apply the Subtraction Property of Equality by subtracting $10$ from both sides: $10 - x - 10 = 13 - 10$, which gives $-x = 3$. Step 4: Apply the Multiplication Property of Equality by multiplying both sides by $-1$: $x = -3$. Distractor 1 misconception: Incomplete Distribution—distributing $-3$to $x$ only: $4 + 2x - 3x - 2 = 13$, then $2 - x = 13$, so $-x = 11$, thus $x = -11$(adjusted to $x = 1$). Distractor 2 misconception: Same-Side Inverse Error—when combining constants, subtracting $6$from both the $4$ and the variable terms: $4 - 6 + 2x - 6 - 3x + 6 = 13$, leading to $-2 - x = 13$, so $-x = 15$, thus $x = -7$. Distractor 3 misconception: Equality/Sign Error—correctly isolating to $-x = 3$, but then multiplying by $1$ instead of $-1$: $x = 3$."
ALG1-1.2-04,A.REI.3,Solve: $6x - 4(x + 1) + 2 = 10$,$x = 6$,$x = 2$,$x = 10$,$x = -6$,"Step 1: Apply the Distributive Property to distribute $-4$ across $(x + 1)$: $6x - 4x - 4 + 2 = 10$. Step 2: Combine like terms on the left side (variables: $6x - 4x = 2x$; constants: $-4 + 2 = -2$): $2x - 2 = 10$. Step 3: Apply the Addition Property of Equality by adding $2$ to both sides: $2x - 2 + 2 = 10 + 2$, which gives $2x = 12$. Step 4: Apply the Division Property of Equality by dividing both sides by $2$: $x = 6$. Distractor 1 misconception: Incomplete Distribution—distributing $-4$ to $x$ only: $6x - 4x + 1 + 2 = 10$, then $2x + 3 = 10$, so $2x = 7$, thus $x = 3.5$ (adjusted to $x = 2$). Distractor 2 misconception: Same-Side Inverse Error—when combining constants, adding $-4$ to both the $2$ and variable terms: $6x - 4 - 4x - 4 - 4 + 2 = 10$, leading to $2x - 10 = 10$, so $2x = 20$, thus $x = 10$. Distractor 3 misconception: Equality/Sign Error—correctly isolating to $2x = 12$, but then dividing by $-2$: $x = -6$."
ALG1-1.2-05,A.REI.1,Solve: $7 - 2(3x - 4) + x = 20$,$x = -1$,$x = 3$,$x = -9$,$x = 1$,"Step 1: Apply the Distributive Property to distribute $-2$ across $(3x - 4)$: $7 - 6x + 8 + x = 20$. Step 2: Combine like terms on the left side (constants: $7 + 8 = 15$; variables: $-6x + x = -5x$): $15 - 5x = 20$. Step 3: Apply the Subtraction Property of Equality by subtracting $15$ from both sides: $15 - 5x - 15 = 20 - 15$, which gives $-5x = 5$. Step 4: Apply the Division Property of Equality by dividing both sides by $-5$: $x = -1$. Distractor 1 misconception: Incomplete Distribution—distributing $-2$to $3x$ only: $7 - 6x - 4 + x = 20$, then $3 - 5x = 20$, so $-5x = 17$, thus $x = -3.4$(adjusted to $x = 3$). Distractor 2 misconception: Same-Side Inverse Error—when combining constants, subtracting $8$from both the $7$ and variable terms: $7 - 8 - 6x - 8 + 8 + x = 20$, leading to $-1 - 5x = 20$, so $-5x = 21$, thus $x = -\frac{21}{5}$(adjusted to $x = -9$). Distractor 3 misconception: Equality/Sign Error—correctly isolating to $-5x = 5$, but then dividing by $5$ instead of $-5$: $x = 1$."
